{'max_depth': 10, 'n_trees': 50, 'max_samples': 100, 'max_buckets': 3, 'epsilon': 0.1, 'sample_axis': 1, 'threshold': 0}

IF	LOF	SVM	Our-Algo

0.3659	0.2013	0.3648	0.3570	
0.3717	0.2013	0.3648	0.2906	
0.3716	0.2013	0.3648	0.3238	
0.3718	0.2013	0.3648	0.3282	
0.3738	0.2013	0.3648	0.3088	

0.3710	0.2013	0.3648	0.3217	
0.0027	0.0000	0.0000	0.0220	

IF	LOF	SVM	Our-Algo

0.7745	0.5628	0.7830	0.7636	
0.7932	0.5628	0.7830	0.7344	
0.7775	0.5628	0.7830	0.7548	
0.7911	0.5628	0.7830	0.7463	
0.7696	0.5628	0.7830	0.7452	

0.7812	0.5628	0.7830	0.7488	
0.0093	0.0000	0.0000	0.0098	
