{'max_depth': 10, 'n_trees': 50, 'max_samples': 100, 'max_buckets': 3, 'epsilon': 0.1, 'sample_axis': 1, 'threshold': 0}

IF	LOF	SVM	Our-Algo

0.5332	0.1831	0.5842	0.4705	
0.5196	0.1831	0.5842	0.4799	
0.5168	0.1831	0.5842	0.4706	
0.5370	0.1831	0.5842	0.4741	
0.5267	0.1831	0.5842	0.4831	

0.5267	0.1831	0.5842	0.4756	
0.0077	0.0000	0.0000	0.0051	

IF	LOF	SVM	Our-Algo

0.8255	0.5008	0.8218	0.8001	
0.8257	0.5008	0.8218	0.7927	
0.8238	0.5008	0.8218	0.7955	
0.8258	0.5008	0.8218	0.7835	
0.8282	0.5008	0.8218	0.8004	

0.8258	0.5008	0.8218	0.7944	
0.0014	0.0000	0.0000	0.0062	
