{'max_depth': 10, 'n_trees': 50, 'max_samples': 100, 'max_buckets': 3, 'epsilon': 0.1, 'sample_axis': 1, 'threshold': 0}

IF	LOF	SVM	Our-Algo

0.1976	0.2538	0.1861	0.1900	
0.1964	0.2538	0.1861	0.1889	
0.1920	0.2538	0.1861	0.1882	
0.1931	0.2538	0.1861	0.1877	
0.1905	0.2538	0.1861	0.1872	

0.1939	0.2538	0.1861	0.1884	
0.0027	0.0000	0.0000	0.0010	

IF	LOF	SVM	Our-Algo

0.5630	0.6712	0.4531	0.4838	
0.5579	0.6712	0.4531	0.4676	
0.5474	0.6712	0.4531	0.4961	
0.5300	0.6712	0.4531	0.4946	
0.5529	0.6712	0.4531	0.4894	

0.5502	0.6712	0.4531	0.4863	
0.0114	0.0000	0.0000	0.0103	
